instance,n_activities,n_resources,mean_duration,std_duration,total_duration,n_precedence_edges,precedence_density,order_strength,unordered_pair_ratio,critical_path_length,resource_factor,max_resource_pressure,mean_resource_pressure,n_conflict_pairs,conflict_density,resource_lower_bound,heuristic_ub,ub_lb_gap
J3012_2.RCP,30.0,4.0,5.933333333333334,2.943165340619215,178.0,42.0,0.09655172413793103,0.31264367816091954,0.6873563218390805,46.0,0.7583333333333333,0.6336317135549873,0.5173183838752893,0.0,0.0,30.0,46.0,0.0
J3012_3.RCP,30.0,4.0,4.933333333333334,2.2647050335284042,148.0,42.0,0.09655172413793103,0.3103448275862069,0.6896551724137931,37.0,0.7583333333333333,0.5900900900900901,0.4750866250866251,0.0,0.0,22.0,37.0,0.0
J3012_4.RCP,30.0,4.0,6.833333333333333,2.817603394533888,205.0,42.0,0.09655172413793103,0.33793103448275863,0.6620689655172414,63.0,0.7583333333333333,0.44160997732426305,0.3855509784911778,0.0,0.0,28.0,63.0,0.0
J3012_5.RCP,30.0,4.0,5.533333333333333,3.0521395046025592,166.0,42.0,0.09655172413793103,0.26666666666666666,0.7333333333333334,47.0,0.7583333333333333,0.43617021276595747,0.3736533074768369,0.0,0.0,21.0,47.0,0.0
J3012_6.RCP,30.0,4.0,5.3,3.0127506811328852,159.0,42.0,0.09655172413793103,0.3103448275862069,0.6896551724137931,53.0,0.7583333333333333,0.5291222313371616,0.4595459458051747,0.0,0.0,29.0,53.0,0.0
J3012_7.RCP,30.0,4.0,6.766666666666667,2.641758673476608,203.0,42.0,0.09655172413793103,0.3218390804597701,0.6781609195402298,55.0,0.7583333333333333,0.4683385579937304,0.4136319737431353,0.0,0.0,26.0,55.0,0.0
J3012_8.RCP,30.0,4.0,5.666666666666667,2.947692129257886,170.0,42.0,0.09655172413793103,0.271264367816092,0.728735632183908,35.0,0.7583333333333333,0.4864661654135338,0.38326362442903794,0.0,0.0,18.0,35.0,0.0
J3012_9.RCP,30.0,4.0,6.233333333333333,2.8246927069840515,187.0,42.0,0.09655172413793103,0.3425287356321839,0.6574712643678161,52.0,0.7583333333333333,0.5177514792899408,0.47144390300498895,0.0,0.0,27.0,52.0,0.0
J3013_1.RCP,30.0,4.0,5.033333333333333,2.9493878837631526,151.0,42.0,0.09655172413793103,0.3586206896551724,0.6413793103448275,34.0,1.0,1.3872549019607843,1.3124848236508226,29.0,0.1039426523297491,48.0,74.0,26.0
J3013_10.RCP,30.0,4.0,4.566666666666666,2.9629189811550516,137.0,42.0,0.09655172413793103,0.32413793103448274,0.6758620689655173,52.0,1.0,0.9264705882352942,0.8165723981900452,66.0,0.22448979591836735,49.0,82.0,30.0
J3013_2.RCP,30.0,4.0,4.9,2.6627053911388696,147.0,42.0,0.09655172413793103,0.28735632183908044,0.7126436781609196,32.0,1.0,1.6875,1.4684372446895426,59.0,0.19032258064516128,54.0,74.0,20.0
J3013_3.RCP,30.0,4.0,5.866666666666666,2.679966832298904,176.0,42.0,0.09655172413793103,0.32873563218390806,0.6712643678160919,45.0,1.0,1.3375,1.260443899782135,99.0,0.339041095890411,61.0,86.0,25.0
J3013_4.RCP,30.0,4.0,5.0,2.569046515733026,150.0,42.0,0.09655172413793103,0.367816091954023,0.632183908045977,50.0,1.0,1.08625,1.0324816176470588,84.0,0.3054545454545455,55.0,83.0,28.0
J3013_5.RCP,30.0,4.0,5.333333333333333,3.003701420285016,160.0,42.0,0.09655172413793103,0.30344827586206896,0.6965517241379311,43.0,1.0,1.2596899224806202,1.1651295789633682,29.0,0.09570957095709572,55.0,79.0,24.0
J3013_6.RCP,30.0,4.0,5.3,2.979373535941183,159.0,42.0,0.09655172413793103,0.32873563218390806,0.6712643678160919,44.0,1.0,1.213903743315508,1.0980931607092597,19.0,0.06506849315068493,54.0,72.0,18.0
J3013_7.RCP,30.0,4.0,5.3,3.1743765792146754,159.0,42.0,0.09655172413793103,0.36091954022988504,0.639080459770115,50.0,1.0,1.23,1.1114792956656347,108.0,0.38848920863309355,62.0,94.0,32.0
J3013_8.RCP,30.0,4.0,6.066666666666666,2.9089898972361907,182.0,42.0,0.09655172413793103,0.35402298850574715,0.6459770114942529,48.0,1.0,1.6681547619047619,1.4908017113095238,151.0,0.5373665480427047,81.0,127.0,46.0
J3013_9.RCP,30.0,4.0,5.533333333333333,3.1382939455839516,166.0,42.0,0.09655172413793103,0.3448275862068966,0.6551724137931034,51.0,1.0,1.077124183006536,0.9976547481737792,72.0,0.25263157894736843,55.0,78.0,23.0
J3014_1.RCP,30.0,4.0,4.7,2.9228981051917176,141.0,42.0,0.09655172413793103,0.42528735632183906,0.5747126436781609,43.0,1.0,0.8520084566596194,0.789677086479412,0.0,0.0,37.0,52.0,9.0
J3014_10.RCP,30.0,4.0,5.933333333333334,3.119116684077223,178.0,42.0,0.09655172413793103,0.3701149425287356,0.6298850574712644,58.0,1.0,0.6883289124668435,0.6256240566585394,0.0,0.0,40.0,63.0,5.0
J3014_2.RCP,30.0,4.0,5.7,3.089228598426043,171.0,42.0,0.09655172413793103,0.335632183908046,0.6643678160919539,44.0,1.0,1.0306324110671936,0.9006119744879626,0.0,0.0,46.0,64.0,18.0
J3014_3.RCP,30.0,4.0,5.9,2.736786436680802,177.0,42.0,0.09655172413793103,0.3448275862068966,0.6551724137931034,58.0,1.0,0.8088455772113943,0.7159587819726502,0.0,0.0,47.0,70.0,12.0
J3014_4.RCP,30.0,4.0,4.8,2.196967607104544,144.0,42.0,0.09655172413793103,0.3425287356321839,0.6574712643678161,45.0,1.0,0.808695652173913,0.7900707384403036,0.0,0.0,37.0,58.0,13.0
J3014_5.RCP,30.0,4.0,4.766666666666667,2.7164110309172447,143.0,42.0,0.09655172413793103,0.38620689655172413,0.6137931034482759,50.0,1.0,0.6385714285714286,0.6255592252575011,0.0,0.0,32.0,68.0,18.0
J3014_6.RCP,30.0,4.0,4.766666666666667,2.1707653540219916,143.0,42.0,0.09655172413793103,0.30114942528735633,0.6988505747126437,34.0,1.0,0.7887700534759359,0.7551810934163876,0.0,0.0,27.0,43.0,9.0
J3014_7.RCP,30.0,4.0,5.466666666666667,2.5263060428661888,164.0,42.0,0.09655172413793103,0.3632183908045977,0.6367816091954023,47.0,1.0,0.87677304964539,0.797362218031737,0.0,0.0,42.0,66.0,19.0
J3014_8.RCP,30.0,4.0,5.566666666666666,2.9175712882845253,167.0,42.0,0.09655172413793103,0.3448275862068966,0.6551724137931034,54.0,1.0,0.7290809327846365,0.6492224894226089,0.0,0.0,40.0,61.0,7.0
J3014_9.RCP,30.0,4.0,4.8,3.091924966748061,144.0,42.0,0.09655172413793103,0.32873563218390806,0.6712643678160919,44.0,1.0,0.8452797202797203,0.7657352658782866,2.0,0.00684931506849315,38.0,56.0,12.0
J3015_1.RCP,30.0,4.0,5.033333333333333,3.114303917232371,151.0,42.0,0.09655172413793103,0.3080459770114943,0.6919540229885057,46.0,1.0,0.7202898550724638,0.6003704063146997,0.0,0.0,34.0,48.0,2.0
J3015_10.RCP,30.0,4.0,5.8,2.6882460204874605,174.0,42.0,0.09655172413793103,0.42758620689655175,0.5724137931034483,65.0,1.0,0.5832775919732441,0.5237617056856188,0.0,0.0,38.0,67.0,2.0
J3015_2.RCP,30.0,4.0,5.866666666666666,2.9181424837652385,176.0,42.0,0.09655172413793103,0.32413793103448274,0.6758620689655173,47.0,1.0,0.6070921985815603,0.524543257336429,0.0,0.0,29.0,50.0,3.0
J3015_3.RCP,30.0,4.0,4.566666666666666,2.859875677173553,137.0,42.0,0.09655172413793103,0.35402298850574715,0.6459770114942529,48.0,1.0,0.6682692307692307,0.6034019431089743,0.0,0.0,33.0,54.0,6.0
J3015_4.RCP,30.0,4.0,5.433333333333334,2.883092475489162,163.0,42.0,0.09655172413793103,0.3333333333333333,0.6666666666666667,48.0,1.0,0.47510162601626016,0.4473885864999177,0.0,0.0,23.0,48.0,0.0
J3015_5.RCP,30.0,4.0,6.5,2.7658633371878665,195.0,42.0,0.09655172413793103,0.35172413793103446,0.6482758620689655,56.0,1.0,0.8471428571428572,0.7975744047619047,0.0,0.0,48.0,64.0,8.0
J3015_6.RCP,30.0,4.0,6.033333333333333,3.092823233803632,181.0,42.0,0.09655172413793103,0.31494252873563217,0.6850574712643678,67.0,1.0,0.6280597014925373,0.575591684434968,0.0,0.0,43.0,72.0,5.0
J3015_7.RCP,30.0,4.0,4.933333333333334,2.6322782696532845,148.0,42.0,0.09655172413793103,0.3586206896551724,0.6413793103448275,47.0,1.0,0.6697872340425531,0.580973461450469,0.0,0.0,32.0,52.0,5.0
J3015_8.RCP,30.0,4.0,5.2,3.390181902690965,156.0,42.0,0.09655172413793103,0.3632183908045977,0.6367816091954023,46.0,1.0,0.7920604914933838,0.7047516653164101,0.0,0.0,37.0,59.0,13.0
J3015_9.RCP,30.0,4.0,5.333333333333333,2.5342103744997617,160.0,42.0,0.09655172413793103,0.3333333333333333,0.6666666666666667,54.0,1.0,0.6088888888888889,0.5757031017027495,0.0,0.0,33.0,58.0,4.0
J3016_1.RCP,30.0,4.0,5.1,2.936551265231604,153.0,42.0,0.09655172413793103,0.3333333333333333,0.6666666666666667,51.0,1.0,0.5968137254901961,0.5418258602460593,0.0,0.0,31.0,51.0,0.0
J3016_10.RCP,30.0,4.0,5.3,2.4515301344262523,159.0,42.0,0.09655172413793103,0.30114942528735633,0.6988505747126437,51.0,1.0,0.47217806041335453,0.4406213435796199,0.0,0.0,25.0,51.0,0.0
J3016_2.RCP,30.0,4.0,6.033333333333333,2.9380643665893746,181.0,42.0,0.09655172413793103,0.3264367816091954,0.6735632183908046,48.0,1.0,0.6652298850574713,0.5070649952041762,0.0,0.0,32.0,48.0,0.0
J3016_3.RCP,30.0,4.0,5.4,2.615339366124404,162.0,42.0,0.09655172413793103,0.3310344827586207,0.6689655172413793,36.0,1.0,0.5437352245862884,0.5023985745614035,0.0,0.0,20.0,36.0,0.0
J3016_4.RCP,30.0,4.0,5.133333333333334,2.825282680055612,154.0,42.0,0.09655172413793103,0.34942528735632183,0.6505747126436782,47.0,1.0,0.39332949971247844,0.371451485235019,0.0,0.0,19.0,47.0,0.0
J3016_5.RCP,30.0,4.0,5.966666666666667,2.4424486802296497,179.0,42.0,0.09655172413793103,0.34022988505747126,0.6597701149425288,51.0,1.0,0.42802486848397897,0.3980729456141938,0.0,0.0,22.0,51.0,0.0
J3016_6.RCP,30.0,4.0,5.1,2.6121510931286758,153.0,42.0,0.09655172413793103,0.31724137931034485,0.6827586206896552,51.0,1.0,0.4250132485426603,0.3647305073615815,0.0,0.0,22.0,51.0,0.0
J3016_7.RCP,30.0,4.0,4.933333333333334,2.731706833139717,148.0,42.0,0.09655172413793103,0.32873563218390806,0.6712643678160919,34.0,1.0,0.6131907308377896,0.5157874798016873,0.0,0.0,21.0,34.0,0.0
J3016_8.RCP,30.0,4.0,4.9,3.2181775380899458,147.0,42.0,0.09655172413793103,0.28735632183908044,0.7126436781609196,44.0,1.0,0.4152462121212121,0.38542372740563535,0.0,0.0,19.0,44.0,0.0
J3016_9.RCP,30.0,4.0,4.666666666666667,2.649947588580239,140.0,42.0,0.09655172413793103,0.36551724137931035,0.6344827586206896,44.0,1.0,0.5251842751842751,0.45738133628758626,0.0,0.0,24.0,44.0,0.0
J3017_1.RCP,30.0,4.0,6.033333333333333,3.0820267501903498,181.0,52.0,0.11954022988505747,0.36551724137931035,0.6344827586206896,45.0,0.25,1.0166666666666666,0.6149669774669775,47.0,0.17028985507246377,46.0,66.0,20.0
J3017_10.RCP,30.0,4.0,6.533333333333333,3.095516470998373,196.0,52.0,0.11954022988505747,0.4528735632183908,0.5471264367816092,66.0,0.25,0.48148148148148145,0.4269733318028772,31.0,0.13025210084033614,32.0,85.0,19.0
J3017_2.RCP,30.0,4.0,6.0,2.54296414970142,180.0,52.0,0.11954022988505747,0.4735632183908046,0.5264367816091954,59.0,0.25,0.4135593220338983,0.3451078582434514,16.0,0.06986899563318777,25.0,69.0,10.0
J3017_3.RCP,30.0,4.0,5.533333333333333,3.25303277300156,166.0,52.0,0.11954022988505747,0.4689655172413793,0.5310344827586206,60.0,0.25,0.4066666666666667,0.33989898989898987,17.0,0.0735930735930736,25.0,65.0,5.0
J3017_4.RCP,30.0,4.0,4.766666666666667,3.0515933907095523,143.0,52.0,0.11954022988505747,0.4804597701149425,0.5195402298850575,42.0,0.25,0.75,0.4763558201058201,33.0,0.14601769911504422,32.0,49.0,7.0
J3017_5.RCP,30.0,4.0,5.3,3.2057240471797734,159.0,52.0,0.11954022988505747,0.45517241379310347,0.5448275862068965,35.0,0.25,0.8155844155844156,0.5998144712430427,29.0,0.12236286919831224,29.0,51.0,16.0
J3017_6.RCP,30.0,4.0,5.533333333333333,2.8015868519267593,166.0,52.0,0.11954022988505747,0.4827586206896552,0.5172413793103448,63.0,0.25,0.47474747474747475,0.3365554198887532,32.0,0.14222222222222225,30.0,72.0,9.0
J3017_7.RCP,30.0,4.0,5.9,2.820756399738671,177.0,52.0,0.11954022988505747,0.4298850574712644,0.5701149425287356,50.0,0.25,0.5222222222222223,0.4607146464646465,25.0,0.10080645161290322,27.0,58.0,8.0
J3017_8.RCP,30.0,4.0,5.4,2.8472208672083497,162.0,52.0,0.11954022988505747,0.4459770114942529,0.554022988505747,53.0,0.25,0.5050798258345428,0.3801293046576065,33.0,0.13692946058091288,27.0,67.0,14.0
J3017_9.RCP,30.0,4.0,4.3,2.6602004936971695,129.0,52.0,0.11954022988505747,0.45057471264367815,0.5494252873563219,44.0,0.25,0.45041322314049587,0.36506178480610296,23.0,0.09623430962343095,20.0,52.0,8.0
J3018_1.RCP,30.0,4.0,5.433333333333334,3.062497165531568,163.0,52.0,0.11954022988505747,0.4459770114942529,0.554022988505747,47.0,0.25,0.5673758865248227,0.3834837739093058,15.0,0.062240663900414946,27.0,55.0,8.0
J3018_10.RCP,30.0,4.0,5.233333333333333,2.4857370916669543,157.0,52.0,0.11954022988505747,0.4114942528735632,0.5885057471264368,41.0,0.25,0.5585365853658537,0.42932636469221835,14.0,0.0546875,23.0,55.0,14.0
J3018_2.RCP,30.0,4.0,5.5,2.6299556396765835,165.0,52.0,0.11954022988505747,0.5310344827586206,0.46896551724137936,52.0,0.25,0.43006993006993005,0.35136498117267345,12.0,0.0588235294117647,23.0,55.0,3.0
J3018_3.RCP,30.0,4.0,5.566666666666666,2.824692706984052,167.0,52.0,0.11954022988505747,0.5103448275862069,0.4896551724137931,53.0,0.25,0.379073756432247,0.31764579759862777,8.0,0.03755868544600939,21.0,61.0,8.0
J3018_4.RCP,30.0,4.0,6.5,2.6677081299622465,195.0,52.0,0.11954022988505747,0.496551724137931,0.503448275862069,67.0,0.25,0.4431687715269805,0.32958832212563555,14.0,0.0639269406392694,30.0,70.0,3.0
J3018_5.RCP,30.0,4.0,5.666666666666667,2.586288632169443,170.0,52.0,0.11954022988505747,0.47126436781609193,0.5287356321839081,50.0,0.25,0.4666666666666667,0.37488888888888894,6.0,0.02608695652173913,24.0,52.0,2.0
J3018_6.RCP,30.0,4.0,6.0,2.9776948578836393,180.0,52.0,0.11954022988505747,0.4459770114942529,0.554022988505747,53.0,0.25,0.5622641509433962,0.3496069182389937,14.0,0.05809128630705395,30.0,65.0,12.0
J3018_7.RCP,30.0,4.0,4.8,2.6758176320519302,144.0,52.0,0.11954022988505747,0.5218390804597701,0.4781609195402299,46.0,0.25,0.3782608695652174,0.3223731884057971,14.0,0.0673076923076923,18.0,51.0,5.0
J3018_8.RCP,30.0,4.0,5.566666666666666,2.940332558666716,167.0,52.0,0.11954022988505747,0.4459770114942529,0.554022988505747,49.0,0.25,0.48214285714285715,0.3336160013455932,7.0,0.029045643153526975,24.0,52.0,3.0
J3018_9.RCP,30.0,4.0,5.2,3.026549190084311,156.0,52.0,0.11954022988505747,0.4459770114942529,0.554022988505747,44.0,0.25,0.6258741258741258,0.46566627816627815,25.0,0.1037344398340249,28.0,50.0,6.0
J3019_1.RCP,30.0,4.0,4.733333333333333,2.7560035478125853,142.0,52.0,0.11954022988505747,0.4,0.6,39.0,0.25,0.45897435897435895,0.31020720872694557,6.0,0.022988505747126436,18.0,41.0,2.0
J3019_10.RCP,30.0,4.0,5.466666666666667,3.0302181806302695,164.0,52.0,0.11954022988505747,0.4091954022988506,0.5908045977011493,44.0,0.25,0.44008264462809915,0.2917937491801128,10.0,0.03891050583657588,20.0,57.0,13.0
J3019_2.RCP,30.0,4.0,6.166666666666667,2.252159457547849,185.0,52.0,0.11954022988505747,0.42528735632183906,0.5747126436781609,58.0,0.25,0.38557993730407525,0.30052384095033824,10.0,0.04000000000000001,23.0,58.0,0.0
J3019_3.RCP,30.0,4.0,7.0,2.4765567494675613,210.0,52.0,0.11954022988505747,0.496551724137931,0.503448275862069,83.0,0.25,0.4508032128514056,0.3013873676524279,16.0,0.0730593607305936,38.0,91.0,8.0
J3019_4.RCP,30.0,4.0,4.933333333333334,3.1084115271666044,148.0,52.0,0.11954022988505747,0.3793103448275862,0.6206896551724138,39.0,0.25,0.4267399267399267,0.34135760073260074,14.0,0.05185185185185185,17.0,47.0,8.0
J3019_5.RCP,30.0,4.0,5.433333333333334,2.629110538228133,163.0,52.0,0.11954022988505747,0.4482758620689655,0.5517241379310345,47.0,0.25,0.37922403003754696,0.3280042513459284,8.0,0.03333333333333333,18.0,50.0,3.0
J3019_6.RCP,30.0,4.0,4.533333333333333,2.860458393723324,136.0,52.0,0.11954022988505747,0.47126436781609193,0.5287356321839081,44.0,0.25,0.39015151515151514,0.274440836940837,13.0,0.05652173913043478,18.0,49.0,5.0
J3019_7.RCP,30.0,4.0,5.533333333333333,3.2013885876114583,166.0,52.0,0.11954022988505747,0.4298850574712644,0.5701149425287356,54.0,0.25,0.3664021164021164,0.27554062449895783,12.0,0.04838709677419355,20.0,61.0,7.0
J3019_8.RCP,30.0,4.0,6.033333333333333,3.0711923128033223,181.0,52.0,0.11954022988505747,0.4206896551724138,0.5793103448275863,55.0,0.25,0.3433155080213904,0.265741464417935,6.0,0.023809523809523808,19.0,58.0,3.0
J3019_9.RCP,30.0,4.0,5.133333333333334,3.2530327730015607,154.0,52.0,0.11954022988505747,0.41839080459770117,0.5816091954022988,38.0,0.25,0.4819078947368421,0.34967105263157894,4.0,0.015810276679841896,19.0,39.0,1.0
J301_1.RCP,30.0,4.0,5.266666666666667,2.581128091014125,158.0,42.0,0.09655172413793103,0.3310344827586207,0.6689655172413793,38.0,0.25,0.6359649122807017,0.4602732793522267,29.0,0.09965635738831616,25.0,56.0,18.0
J301_10.RCP,30.0,4.0,4.966666666666667,2.6138519893487127,149.0,42.0,0.09655172413793103,0.3333333333333333,0.6666666666666667,37.0,0.25,0.6486486486486487,0.4898648648648649,32.0,0.11034482758620688,24.0,54.0,17.0
J301_2.RCP,30.0,4.0,5.333333333333333,3.2386554137309647,160.0,42.0,0.09655172413793103,0.28045977011494255,0.7195402298850575,42.0,0.25,0.6103896103896104,0.4764919604205319,39.0,0.12460063897763578,26.0,54.0,12.0
J301_3.RCP,30.0,4.0,4.7,3.297979179234864,141.0,42.0,0.09655172413793103,0.3563218390804598,0.6436781609195402,43.0,0.25,0.4796511627906977,0.3921996124031008,21.0,0.075,21.0,53.0,10.0
J301_4.RCP,30.0,4.0,6.133333333333334,2.997035572398536,184.0,42.0,0.09655172413793103,0.3264367816091954,0.6735632183908046,55.0,0.25,0.6545454545454545,0.44521841794569067,33.0,0.11262798634812286,36.0,72.0,17.0
J301_5.RCP,30.0,4.0,3.966666666666667,2.2283526551144357,119.0,42.0,0.09655172413793103,0.31724137931034485,0.6827586206896552,31.0,0.25,0.8856304985337243,0.4798794395568589,41.0,0.13804713804713806,28.0,49.0,18.0
J301_6.RCP,30.0,4.0,4.1,3.1235663378047,123.0,42.0,0.09655172413793103,0.3816091954022989,0.6183908045977011,38.0,0.25,0.7192982456140351,0.4067982456140351,34.0,0.12639405204460966,28.0,49.0,11.0
J301_7.RCP,30.0,4.0,4.933333333333334,2.462158041682585,148.0,42.0,0.09655172413793103,0.36551724137931035,0.6344827586206896,60.0,0.25,0.4090909090909091,0.3526252913752914,30.0,0.10869565217391304,25.0,66.0,6.0
J301_8.RCP,30.0,4.0,5.233333333333333,3.0949780110509493,157.0,42.0,0.09655172413793103,0.2827586206896552,0.7172413793103448,53.0,0.25,0.5296495956873315,0.3840633423180593,23.0,0.07371794871794872,29.0,66.0,13.0
J301_9.RCP,30.0,4.0,5.333333333333333,2.507765716507204,160.0,42.0,0.09655172413793103,0.3471264367816092,0.6528735632183909,42.0,0.25,0.6388888888888888,0.4884351759351759,38.0,0.13380281690140844,27.0,55.0,13.0
J3020_1.RCP,30.0,4.0,6.066666666666666,2.594010194445829,182.0,52.0,0.11954022988505747,0.4367816091954023,0.5632183908045977,57.0,0.25,0.3280701754385965,0.30168521662579384,8.0,0.0326530612244898,19.0,57.0,0.0
J3020_10.RCP,30.0,4.0,4.566666666666666,2.812867259971971,137.0,52.0,0.11954022988505747,0.4574712643678161,0.542528735632184,37.0,0.25,0.436036036036036,0.3195124536301007,0.0,0.0,17.0,37.0,0.0
J3020_2.RCP,30.0,4.0,5.766666666666667,2.836468853267308,173.0,52.0,0.11954022988505747,0.4482758620689655,0.5517241379310345,70.0,0.25,0.33174603174603173,0.2541418650793651,14.0,0.058333333333333334,24.0,70.0,0.0
J3020_3.RCP,30.0,4.0,6.433333333333334,2.4039319642803725,193.0,52.0,0.11954022988505747,0.38850574712643676,0.6114942528735632,49.0,0.25,0.35495626822157433,0.2465652332361516,1.0,0.0037593984962406013,18.0,49.0,0.0
J3020_4.RCP,30.0,4.0,5.533333333333333,3.1699982474583304,166.0,52.0,0.11954022988505747,0.38850574712643676,0.6114942528735632,43.0,0.25,0.39700996677740863,0.3228055604126595,7.0,0.02631578947368421,18.0,43.0,0.0
J3020_5.RCP,30.0,4.0,5.233333333333333,2.871507540570903,157.0,52.0,0.11954022988505747,0.496551724137931,0.503448275862069,61.0,0.25,0.33417402269861285,0.3059478772593527,26.0,0.1187214611872146,21.0,61.0,0.0
